book_id,review_id,sentence_id,token_id,modifier_id,modifier,modified,dependency_relation
b11,r3418,s29439,t719865,m2357,german,writer,amod
b13,r3901,s31675,t770356,m2451,russian,writer,amod
b13,r3908,s31940,t776701,m2458,russian,authors,amod
b13,r3933,s32598,t791378,m2477,russian,authors,amod
b13,r3957,s32997,t802359,m2495,russian,style,amod
b13,r4021,s34286,t830976,m2540,russian,authors,amod
b13,r4046,s34533,t837445,m2550,russian,writers,amod
b13,r4097,s35282,t853787,m2581,russian,author,amod
b13,r4117,s35533,t860856,m2596,russian,book,amod
b13,r4117,s35534,t860877,m2597,russian,books,amod
b13,r4117,s35536,t860911,m2599,russian,book,amod
b13,r4128,s35849,t866377,m2603,russian,authors,amod
b13,r4179,s36408,t878577,m2635,russian,writers,amod
b14,r4233,s36644,t884254,m2653,russian,authors,amod
b14,r4385,s38492,t926660,m2726,german,writers,amod
b14,r4389,s38530,t927512,m2729,german,writer,amod
b14,r4458,s39038,t940164,m2741,german,author,amod
b15,r4599,s40532,t974327,m2790,russian,authors,amod
b15,r4628,s40889,t982365,m2803,french,writer,amod
b15,r4634,s41032,t984816,m2807,russian,authors,amod
b15,r4676,s41531,t996408,m2828,french,writers,amod
b15,r4791,s42884,t1026238,m2864,german,writers,amod
b16,r5054,s47070,t1119951,m2968,french,writer,amod
b16,r5104,s47813,t1136009,m2998,french,writer,amod
b17,r5227,s49061,t1164737,m3049,russian,author,amod
b17,r5231,s49126,t1167141,m3052,russian,writing,amod
b17,r5273,s50277,t1191645,m3090,russian,authors,amod
b17,r5286,s50474,t1195200,m3098,english,writers,amod
b17,r5286,s50474,t1195211,m3099,russian,writers,amod
b17,r5321,s50972,t1205416,m3116,russian,style,amod
b17,r5344,s51352,t1214128,m3127,russian,authors,amod
b17,r5362,s51538,t1218489,m3145,russian,writers,amod
b17,r5376,s51744,t1223455,m3153,russian,writers,amod
b17,r5403,s52082,t1230624,m3163,russian,writer,amod
b17,r5445,s52717,t1245251,m3193,russian,writer,amod
b17,r5452,s52804,t1247419,m3203,russian,style,amod
b17,r5457,s52841,t1248142,m3206,english,style,amod
b18,r5597,s54914,t1295596,m3315,spanish,writers,amod
b18,r5691,s56189,t1329591,m3395,spanish,writers,amod
b19,r5877,s57911,t1369678,m3506,german,writer,amod
