modifier,count
new,12
good,8
excellent,8
ready,5
bad,5
first,5
poor,3
maybe,3
older,3
better,3
literal,3
earlier,2
newer,2
poetic,2
lovely,2
freely,2
other,2
particular,2
just,2
difficult,2
misleading,1
corngold,1
about,1
truthful,1
awkward,1
really,1
flowing,1
different,1
later,1
formal,1
great,1
lousy,1
hugh,1
yet,1
exquisite,1
least,1
beautiful,1
volkhonsky,1
dry,1
exact,1
preferred,1
cultural,1
marvelous,1
feeling,1
recent,1
loose,1
available,1
stellar,1
stodgy,1
latest,1
dense,1
faithful,1
weird,1
updated,1
supreme,1
all,1
here,1
dated,1
disappointing,1
american,1
previous,1
glenny,1
best,1
readable,1
tedious,1
interpretive,1
only,1
articulate,1
stilted,1
free,1
alone,1
easy,1
crisp,1
idiomatic,1
perfect,1
exceptional,1
wonderful,1
